Longitude,Latitude,Trend,P-Value
62.5000,-57.5000,-2.46193e-04,2.45524e-02
62.5000,-52.5000,-2.50845e-04,2.36051e-01
62.5000,-47.5000,-5.10494e-04,1.27569e-01
62.5000,-42.5000,-1.00836e-03,6.08472e-02
62.5000,-37.5000,-1.89177e-03,2.44687e-02
62.5000,-32.5000,-4.48070e-03,2.22460e-02
62.5000,-27.5000,-1.11404e-02,9.59281e-04
62.5000,-22.5000,-2.47320e-02,3.27510e-04
62.5000,-17.5000,-4.66509e-02,2.38162e-06
62.5000,-12.5000,-6.06460e-02,8.93853e-08
62.5000,-7.5000,-4.40536e-02,3.45930e-08
62.5000,-2.5000,-1.48463e-02,2.84261e-05
62.5000,2.5000,-7.69413e-03,7.78068e-03
62.5000,7.5000,-1.47693e-02,2.81077e-03
62.5000,12.5000,-9.20470e-03,1.14694e-02
62.5000,17.5000,2.47461e-03,3.39283e-01
62.5000,22.5000,4.04770e-03,9.26965e-02
62.5000,27.5000,1.03367e-03,2.65816e-01
62.5000,32.5000,2.58211e-05,6.47772e-01
62.5000,37.5000,0.00000e+00,9.99000e+33
62.5000,42.5000,0.00000e+00,9.99000e+33
62.5000,47.5000,0.00000e+00,9.99000e+33
62.5000,52.5000,0.00000e+00,9.99000e+33
62.5000,57.5000,0.00000e+00,9.99000e+33
62.5000,62.5000,0.00000e+00,9.99000e+33
62.5000,67.5000,0.00000e+00,9.99000e+33
62.5000,72.5000,0.00000e+00,9.99000e+33
62.5000,77.5000,0.00000e+00,9.99000e+33
62.5000,82.5000,0.00000e+00,9.99000e+33
62.5000,87.5000,0.00000e+00,9.99000e+33
67.5000,-87.5000,0.00000e+00,9.99000e+33
67.5000,-82.5000,0.00000e+00,9.99000e+33
67.5000,-77.5000,0.00000e+00,9.99000e+33
67.5000,-72.5000,-3.99277e-05,7.96867e-01
67.5000,-67.5000,-1.36285e-04,1.53548e-01
67.5000,-62.5000,-2.99443e-04,1.71256e-03
67.5000,-57.5000,-4.56343e-04,4.34340e-03
67.5000,-52.5000,-4.96125e-04,5.46356e-02
67.5000,-47.5000,-7.44059e-04,2.08431e-01
